model,granularity,mean_gen_count,min_gen_count,max_gen_count,mean_golden_count,min_golden_count,max_golden_count
LLaDA2.1-mini,LOW,2.8,2,4,2.3,2,3
LLaDA2.1-mini,MEDIUM,8.7,5,15,7.6,6,12
LLaDA2.1-mini,HIGH,16.9,10,23,13.2,9,18
Qwen3.6-35B-A3B-FP8,LOW,2.7,2,4,2.3,2,3
Qwen3.6-35B-A3B-FP8,MEDIUM,9.9,5,15,7.6,6,12
Qwen3.6-35B-A3B-FP8,HIGH,18.0,12,27,13.2,9,18
gemma-4-26b-a4b-it,LOW,2.1,1,3,2.3,2,3
gemma-4-26b-a4b-it,MEDIUM,6.9,4,11,7.6,6,12
gemma-4-26b-a4b-it,HIGH,12.5,9,16,13.2,9,18
gemma-4-31b-it,LOW,2.1,1,4,2.3,2,3
gemma-4-31b-it,MEDIUM,7.4,4,14,7.6,6,12
gemma-4-31b-it,HIGH,13.0,9,16,13.2,9,18
gemma-4-e2b-it,LOW,2.5,1,4,2.3,2,3
gemma-4-e2b-it,MEDIUM,7.9,5,14,7.6,6,12
gemma-4-e2b-it,HIGH,13.8,10,20,13.2,9,18
gpt-4.1-mini,LOW,2.6,2,4,2.3,2,3
gpt-4.1-mini,MEDIUM,9.7,5,15,7.6,6,12
gpt-4.1-mini,HIGH,16.6,13,28,13.2,9,18
qwen35-2b,LOW,2.3,1,4,2.3,2,3
qwen35-2b,MEDIUM,7.9,5,13,7.6,6,12
qwen35-2b,HIGH,14.1,9,20,13.2,9,18
