,prompt_tokens,prompt_tokens,prompt_tokens,prompt_tokens,completion_tokens,completion_tokens,completion_tokens,completion_tokens,total_tokens,total_tokens,total_tokens,total_tokens,cached_tokens,cached_tokens,cached_tokens,cached_tokens,reasoning_tokens,reasoning_tokens,reasoning_tokens,reasoning_tokens
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
model,,,,,,,,,,,,,,,,,,,,
LLaDA2.1-mini,1451.3396226415093,1366.0,902.5822072725364,424,164.14150943396226,51.5,311.75268092649304,424,1615.4811320754718,1449.5,1125.7560546932982,424,0.0,0.0,0.0,424,0.0,0.0,0.0,424
Qwen3.6-35B-A3B-FP8,1335.6953781512605,1312.0,616.6949955500597,476,274.031512605042,94.0,369.80351120507487,476,1609.7268907563025,1425.5,905.5099947087662,476,0.0,0.0,0.0,476,0.0,0.0,0.0,476
gemma-4-26b-a4b-it,1363.1832946635732,1380.0,466.38207343116983,431,147.41067285382832,54.0,240.36239263412654,431,1510.5939675174013,1458.0,627.1984218216892,431,0.0,0.0,0.0,431,0.0,0.0,0.0,431
gemma-4-31b-it,1364.4663573085847,1380.0,468.4261061136461,431,151.70533642691416,50.0,248.20643873048553,431,1516.1716937354988,1460.0,634.7031118721159,431,0.0,0.0,0.0,431,0.0,0.0,0.0,431
gemma-4-e2b-it,2179.1864801864804,1581.0,1779.0801145336134,429,422.90675990675993,211.0,503.8552915643286,429,2602.09324009324,1779.0,2154.8991391007585,429,0.0,0.0,0.0,429,0.0,0.0,0.0,429
gpt-4.1-mini,1287.1252900232018,1263.0,585.4877101054373,431,147.33874709976797,46.0,259.60731769760946,431,1434.4640371229698,1335.0,768.526989120089,431,251.84222737819024,0.0,573.7479984693501,431,0.0,0.0,0.0,431
qwen35-2b,1292.7847826086957,1321.5,470.08306801613764,460,145.76956521739132,42.0,243.2956975725771,460,1438.554347826087,1410.0,633.4914622705866,460,0.0,0.0,0.0,460,0.0,0.0,0.0,460
