model,metric_name,mean,median,std,min,max,p95,count
LLaDA2.1-mini,answer_relevancy,0.09069666666666666,0.08145,0.04556330558785165,0.0562,0.2995,0.15601499999999996,30
LLaDA2.1-mini,context_relevance,0.1674654761904762,0.1661,0.059773212951266884,0.0608,0.3405,0.267145,84
LLaDA2.1-mini,context_utilization,0.18375000000000002,0.17120000000000002,0.08017651503537923,0.0858,0.7211,0.2990299999999998,88
LLaDA2.1-mini,faithfulness_exp1,0.6568942528735632,0.4514,1.0445931274631912,0.0728,9.4174,1.4973300000000003,87
LLaDA2.1-mini,faithfulness_exp2,0.555480487804878,0.4893,0.42848245601162727,0.1144,2.4022,1.0489,41
LLaDA2.1-mini,response_groundedness,0.16394893617021275,0.1643,0.06330193349181629,0.0606,0.2951,0.27529,94
Qwen3.6-35B-A3B-FP8,answer_relevancy,5.707523333333333,4.6437,3.9458531481389625,1.6063,19.7905,14.284569999999984,30
Qwen3.6-35B-A3B-FP8,context_relevance,5.019821428571428,4.4426000000000005,2.9535325173189784,0.8968,16.6847,11.312039999999989,84
Qwen3.6-35B-A3B-FP8,context_utilization,6.674454545454545,5.92365,3.3765072066798125,1.5309,22.7044,16.160219999999978,88
Qwen3.6-35B-A3B-FP8,faithfulness_exp1,16.101993333333333,15.0413,8.487444669122485,5.0316,37.4117,33.51075,90
Qwen3.6-35B-A3B-FP8,faithfulness_exp2,15.263886666666668,13.7999,8.105642089102897,5.1528,39.907,29.720699999999997,45
Qwen3.6-35B-A3B-FP8,response_groundedness,6.844476344086021,5.873,3.361332466105545,2.999,21.0377,15.809199999999983,93
gemma-4-26b-a4b-it,answer_relevancy,0.31932333333333335,0.28215,0.10298818038420997,0.2313,0.5761,0.5277099999999999,30
gemma-4-26b-a4b-it,context_relevance,0.2033559523809524,0.187,0.055079288634035946,0.1499,0.393,0.3369299999999999,84
gemma-4-26b-a4b-it,context_utilization,1.0084306818181819,0.75075,1.041322284224494,0.4166,9.6017,1.8615299999999992,88
gemma-4-26b-a4b-it,faithfulness_exp1,4.452268888888889,1.92485,5.02290200584976,0.2761,20.5791,15.668874999999996,90
gemma-4-26b-a4b-it,faithfulness_exp2,6.579857777777777,4.5688,6.363511004815191,0.7926,36.2601,15.704459999999997,45
gemma-4-26b-a4b-it,response_groundedness,0.18019468085106385,0.18130000000000002,0.01594712612408513,0.1521,0.2325,0.206835,94
gemma-4-31b-it,answer_relevancy,0.5332833333333333,0.48355000000000004,0.13757238617099585,0.3936,0.8833,0.8073099999999999,30
gemma-4-31b-it,context_relevance,0.3917119047619047,0.3375,0.13492104108125114,0.2309,0.703,0.62078,84
gemma-4-31b-it,context_utilization,1.8756136363636364,1.5858500000000002,1.4258992491678466,0.7653,10.46,3.0966349999999996,88
gemma-4-31b-it,faithfulness_exp1,9.001812222222222,5.9579,8.673415040624286,0.462,38.8472,26.624435,90
gemma-4-31b-it,faithfulness_exp2,6.835553333333333,5.3905,4.8026505226801595,1.5341,21.2679,18.168419999999983,45
gemma-4-31b-it,response_groundedness,0.3984393617021276,0.3466,0.16572765145111476,0.2269,0.8128,0.73826,94
gemma-4-e2b-it,answer_relevancy,0.46886,0.20705,0.6792508361016771,0.1631,2.367,2.2192499999999993,30
gemma-4-e2b-it,context_relevance,1.0117047619047619,0.15465,1.8547306919051951,0.1222,11.985,4.19713,84
gemma-4-e2b-it,context_utilization,2.6727647727272728,2.26465,2.6407403719777247,0.2842,16.3213,6.046494999999998,88
gemma-4-e2b-it,faithfulness_exp1,5.930519318181819,3.5344499999999996,6.738030709302798,0.2031,39.24,17.133254999999995,88
gemma-4-e2b-it,faithfulness_exp2,6.154055555555556,4.1971,5.885835617841575,0.7406,23.8881,19.534339999999997,45
gemma-4-e2b-it,response_groundedness,1.8519074468085106,0.16344999999999998,2.622447246545045,0.1231,17.1377,5.6501899999999985,94
gpt-4.1-mini,answer_relevancy,0.5648599999999999,0.5588,0.07388259372255696,0.4575,0.7836,0.7004699999999999,30
gpt-4.1-mini,context_relevance,0.6010559523809524,0.42069999999999996,1.5205643337579215,0.3567,14.3628,0.5553849999999999,84
gpt-4.1-mini,context_utilization,0.895978409090909,0.6921999999999999,1.8038453470835967,0.5749,17.6059,0.8885949999999997,88
gpt-4.1-mini,faithfulness_exp1,2.464958888888889,1.5122,3.147464893696978,0.5039,22.0998,5.215465,90
gpt-4.1-mini,faithfulness_exp2,3.250226666666667,2.6285,2.6140304172779905,0.8731,11.8738,8.48298,45
gpt-4.1-mini,response_groundedness,0.5814904255319149,0.41745,1.441066658414303,0.3592,14.3933,0.5503899999999999,94
qwen35-2b,answer_relevancy,0.3222966666666667,0.1778,0.42431909632462583,0.1471,1.9486,1.2109399999999968,30
qwen35-2b,context_relevance,0.19060357142857143,0.19619999999999999,0.07286779983059363,0.1148,0.3784,0.3350699999999999,84
qwen35-2b,context_utilization,0.8570340909090909,0.7766500000000001,0.9756235466620633,0.2314,9.1128,1.5050149999999993,88
qwen35-2b,faithfulness_exp1,2.915121348314607,1.7778,3.54220040375111,0.3251,17.101,10.448279999999995,89
qwen35-2b,faithfulness_exp2,4.116475555555556,1.9973,4.5634876332370045,0.4196,22.2907,12.253919999999995,45
qwen35-2b,response_groundedness,0.20998404255319147,0.20785,0.07569165278788414,0.1145,0.3932,0.32913,94
